,markdown_content,preprocessed_markdown
3422,![image.png](attachment:image.png),imag png attach imag png
3423,"2. ### Number of records and Features in the datasets
2.1. ** Let Examine the Applaication Train DataSet**",2 number record featur dataset 2 1 let examin applaic train dataset
3424,### Identifying Numerical and Categorical Features,identifi numer categor featur
3425,###  Function for  find out Numerical and categeical Variables,function find numer categ variabl
3426,### Identifying Missing Value Present in Application Train Dataset,identifi miss valu present applic train dataset
3427,### The above given figure which clear say about the which features has missing value and precentage of missing value avaiable in application_train DataSet,given figur clear say featur miss valu precentag miss valu avaiabl applic train dataset
3428,### Let us Examine application_test data set,let u examin applic test data set
3429,### identifying the Catergical and numberical variables ,identifi caterg number variabl
3430,### identifying the missing values,identifi miss valu
3431,### Let Exmaine bureau dataset,let exmain bureau dataset
3432,### identifying the catergical and numnerical features  ,identifi caterg numner featur
3433,### identying the missing data,identi miss data
3434,### Exmaine the bureau_balance DataSet,exmain bureau balanc dataset
3435,## identifying Catergical and numerical variables,identifi caterg numer variabl
3436,### identifying the missing value in bureau_balance,identifi miss valu bureau balanc
3437,### No missing data in Bureau Balance Dataset,miss data bureau balanc dataset
3438,## Exmaine the POS_CASH_balance DataSet,exmain po cash balanc dataset
3439,### identifying the Catergical and numerical variables ,identifi caterg numer variabl
3440,### identifying the missing values,identifi miss valu
3441,### Examine the credit_card_balance dataset,examin credit card balanc dataset
3442,### identifying the Categerical and numerical Variable ,identifi categer numer variabl
3443,### identifying the missing value in credit_card_balance dataset,identifi miss valu credit card balanc dataset
3444,### Exmaine the previous_application Dataset,exmain previou applic dataset
3445, ### identifying the catergical and numerical variable in previous application Data set.,identifi caterg numer variabl previou applic data set
3446,### identifying the missing value in previous_application,identifi miss valu previou applic
3447,### Exmaine the installments_payments dataset,exmain instal payment dataset
3448,### identifying the categerical and numerical Variable ,identifi categer numer variabl
3449,### identifying the missing value in installments_payments,identifi miss valu instal payment
3450,## Checking the Imbalance of Target Variable,check imbal target variabl
3451,"It is evident that  many customer are able to pay the loan back i.e Only 91.9% of the total customer are repaying the loan.
We need to drill down more to get better insights from the data and see which categories of the customer are not able to pay back loan.

We will try to check the repayer and defualter rate by using the different features of the dataset. 
Some of the features being Gender,Education,Employment_type,etc. First let us understand the different types of features.",evid mani custom abl pay loan back e 91 9 total custom repay loan need drill get better insight data see categori custom abl pay back loan tri check repay defualt rate use differ featur dataset featur gender educ employ type etc first let u understand differ type featur
3452,"## Types Of Features

### Categorical Features:
A categorical variable is one that has two or more categories and each value in that feature can be categorised by them.For example, 
Name Education Type is a categorical variable having Five categories. Now we cannot sort or give any ordering to such variables. They are also known as Nominal Variables.

Categorical Features in the dataset: Education_type,occupation_type,Contract_type

### Analysing The Features
***Eduaction-----> Categorical Feature***",type featur categor featur categor variabl one two categori valu featur categoris exampl name educ type categor variabl five categori sort give order variabl also known nomin variabl categor featur dataset educ type occup type contract type analys featur eduact categor featur
3453,### the proof is  edvined by looking at the above given plot and groupby function is clearly customer with education of secondary/secondary special has high  count where not able to pay loan back.,proof edvin look given plot groupbi function clearli custom educ secondari secondari special high count abl pay loan back
3454,## Analysis based on Code  Gender ,analysi base code gender
3455,### its clear that  by looking at the above given plot and groupby function is clearly customer based on code gender type female  has high  count where not able to pay loan back compare to male.,clear look given plot groupbi function clearli custom base code gender type femal high count abl pay loan back compar male
3456,### Analysis based on INCOME TYPE,analysi base incom type
3457,### its clear that  by looking at the above given plot and groupby function is clearly customer based on code income type and the working  has high  count where not able to pay loan back compare to all other,clear look given plot groupbi function clearli custom base code incom type work high count abl pay loan back compar
3458,### Analysis based on OCCUPATION TYPE,analysi base occup type
3459,###  its clear that  by looking at the above given plot and groupby function is clearly customer based on occupation  type. the working  has high  count where not able to pay loan back compare to all other.,clear look given plot groupbi function clearli custom base occup type work high count abl pay loan back compar
3460,### Analysis Based on FAMILY STATUS,analysi base famili statu
3461,### its clear that  by looking at the above given plot and groupby function is clearly customer based on code Family type and the Married customer  has high  count where not able to pay loan back compare to all other.,clear look given plot groupbi function clearli custom base code famili type marri custom high count abl pay loan back compar
3462,"
### Analysis based HOUSING TYPE",analysi base hous type
3463,### its clear that  by looking at the above given plot and groupby function is clearly customer based on Housing type and the house type customer  has high  count where not able to pay loan back compare to all other.,clear look given plot groupbi function clearli custom base hous type hous type custom high count abl pay loan back compar
3464,### Analysis based on TYPE SUITE,analysi base type suit
3465,### its clear that  by looking at the above given plot and groupby function is clearly customer based on Suite type and the unaccompanied customer  has high  count where not able to pay loan back compare to all other.,clear look given plot groupbi function clearli custom base suit type unaccompani custom high count abl pay loan back compar
3466,### Analysis Based on ORGANIZATION TYPE,analysi base organ type
3467,### its clear that  by looking at the above given plot and groupby function is clearly customer based on Organization type and the Business type 3 customer  has high  count where not able to pay loan back compare to all other.,clear look given plot groupbi function clearli custom base organ type busi type 3 custom high count abl pay loan back compar
3468,### Analysis based on FLAG OWN CAR,analysi base flag car
3469,### its clear that  by looking at the above given plot and groupby function is clearly customer based on owning car type and the customer with no car  has high  count where not able to pay loan back compare to all other.,clear look given plot groupbi function clearli custom base own car type custom car high count abl pay loan back compar
3470,### Analysis based on FLAG_OWN_REALTY,analysi base flag realti
3471,### its clear that  by looking at the above given plot and groupby function is clearly customer based on owning Reality type and the customer has Reality  has high  count where not able to pay loan back compare to all other.,clear look given plot groupbi function clearli custom base own realiti type custom realiti high count abl pay loan back compar
3472,### Analysis based on NAME_CONTRACT_TYPE,analysi base name contract type
3473,### its clear that  by looking at the above given plot and groupby function is clearly customer based on Contract type and the customer with cash loans  has high  count where not able to pay loan back compare to all other.,clear look given plot groupbi function clearli custom base contract type custom cash loan high count abl pay loan back compar
3474,### Analysis based on WEEKDAY_APPR_PROCESS_START,analysi base weekday appr process start
3475,"### its clear that  by looking at the above given plot and groupby function is clearly customer based application start on days and the customer registed  on tuesday  has high  count were not able to pay loan back compare to all other.

### Analysis based House Type Mode",clear look given plot groupbi function clearli custom base applic start day custom regist tuesday high count abl pay loan back compar analysi base hous type mode
3476,### its clear that  by looking at the above given plot and groupby function is clearly customer based Housetype Mode and the customer registed  on Block of flats has high  count where not able to pay loan back compare to all other.,clear look given plot groupbi function clearli custom base housetyp mode custom regist block flat high count abl pay loan back compar
3477,### Analysis Based on EMERGENCYSTATE MODE ,analysi base emergencyst mode
3478,### its clear that  by looking at the above given plot and groupby function is clearly customer based Emergency state Mode and the customer has No  has high  count where not able to pay loan back compare to all other.,clear look given plot groupbi function clearli custom base emerg state mode custom high count abl pay loan back compar
3479,"### ANALYSIS THE NUMBERICAL FEATURES 


#### ANALYZSIS BASED ON  COUNT CHILDREN ",analysi number featur analyzsi base count child
3480,its clear that  by looking at the above given plots and groupby function is clearly customer based count of children and the customer with   has No  children has high  count and customer with more than  8   50% of non payer based on it own count where not able to pay loan back compare to all other.,clear look given plot groupbi function clearli custom base count child custom child high count custom 8 50 non payer base count abl pay loan back compar
3481,### if we see  the above given distrbution plot it clear say major distrbuiton  for amouth annuity is from 0 to 75000 and amount of anual income is from 0 to 1000000,see given distrbut plot clear say major distrbuiton amouth annuiti 0 75000 amount anual incom 0 1000000
3482,"#### Analysis based on   REGION_RATING_CLIENT , REGION_RATING_CLIENT_W_CITY', HOUR_APPR_PROCESS_STAR',
  REG_REGION_NOT_LIVE_REGION', 'REG_REGION_NOT_WORK_REGION',
  LIVE_REGION_NOT_WORK_REGION', 'REG_CITY_NOT_LIVE_CITY
 REG_CITY_NOT_WORK_CITY', 'LIVE_CITY_NOT_WORK_CITY'",analysi base region rate client region rate client w citi hour appr process star reg region live region reg region work region live region work region reg citi live citi reg citi work citi live citi work citi
3483,if we look at the above plot it is clear that customer register in city but not work in city based analysis we know that customer not city has high count.,look plot clear custom regist citi work citi base analysi know custom citi high count
3484,### By looking at the above given we can clear get id of which loan Repayer vs NOn Payer  all features list in above plot,look given clear get id loan repay v non payer featur list plot
3485,1. 1. ### Analysis Based on EXter Source Types,1 1 analysi base exter sourc type
3486,### Analysis based Averages values,analysi base averag valu
3487,### Checking the  Correlation Between The Features for Application Train Dataset,check correl featur applic train dataset
3488,### If look at the above given plot is clear that all AVG featuers are high correleted values by seeing this plot we can easy find out the coorelated features,look given plot clear avg featuer high correlet valu see plot easi find coorel featur
3489,#### **By see above given two  corelation plot  we can easy find out  the most corelated featuers along with they corelated values.  and all kind of analysis are done for the application train dataset.,see given two corel plot easi find corel featuer along corel valu kind analysi done applic train dataset
3490,"## EDA of Bureau Data

All client's previous credits provided by other financial institutions that were reported to Credit Bureau (for clients who have a loan in our sample). For every loan in our sample, there are as many rows as number of credits the client had in Credit Bureau before the application date.",eda bureau data client previou credit provid financi institut report credit bureau client loan sampl everi loan sampl mani row number credit client credit bureau applic date
3491,### Merging the bureau dataset along with application train dataset to do more analysis,merg bureau dataset along applic train dataset analysi
3492,"### Analysis Based on CREDIT ACTIVE, CREDIT_CURRENCY, CREDIT TYPE",analysi base credit activ credit currenc credit type
3493,### BASED on above  given plot it clear that the Credit type consumer credit has high count of non payer of loan and credit currency customer with currency 1 has high count of non payer and based credit active customer with in group of closed customer has high count of non payer,base given plot clear credit type consum credit high count non payer loan credit currenc custom currenc 1 high count non payer base credit activ custom group close custom high count non payer
3494,### ABOVE given plots show distributions,given plot show distribut
3495,### EAD for bureau balance Dataset,ead bureau balanc dataset
3496,"### based  type its clear that status c, o,x has high count in bureau balnace dataset",base type clear statu c x high count bureau balnac dataset
3497,### EDA for previous application dataset,eda previou applic dataset
3498,### By looking at the above given plot its clear that which types has high count in each feature so we can easy out the root cause of the problem.,look given plot clear type high count featur easi root caus problem
3499,### analyzing the numerical features disturbion in previous application dataset,analyz numer featur disturbion previou applic dataset
3500,## those are few EAD i have done please  vote for me which help my movitvation to increase to do a lot of work if there any imporvment can be done means please say in comments References This notebook has been created based on great work done solving the House Credit defult Risk competition and other sources.,ead done plea vote help movitv increas lot work imporv done mean plea say comment refer notebook creat base great work done solv hous credit defult risk competit sourc
3501,"# Introduction: Automated Feature Engineering Basics

In this notebook, we will walk through applying automated feature engineering to the [Home Credit Default Risk dataset](https://www.kaggle.com/c/home-credit-default-risk) using the featuretools library. [Featuretools](https://docs.featuretools.com/) is an open-source Python package for automatically creating new features from multiple tables of structured, related data. It is ideal tool for problems such as the Home Credit Default Risk competition where there are several related tables that need to be combined into a single dataframe for training (and one for testing). 

## Feature Engineering

The objective of [feature engineering](https://en.wikipedia.org/wiki/Feature_engineering) is to create new features (alos called explantory variables or predictors) to represent as much information from an entire dataset in one table.  Typically, this process is done by hand using pandas operations such as `groupby`, `agg`, or `merge` and can be very tedious. Moreover, manual feature engineering is limited both by human time constraints and imagination: we simply cannot conceive of every possible feature that will be useful. (For an example of using manual feature engineering, check out [part one](https://www.kaggle.com/willkoehrsen/introduction-to-manual-feature-engineering) and [part two](https://www.kaggle.com/willkoehrsen/introduction-to-manual-feature-engineering-p2) applied to this competition). The importance of creating the proper features cannot be overstated because a machine learning model can only learn from the data we give to it. Extracting as much information as possible from the available datasets is crucial to creating an effective solution.

[Automated feature engineering](https://towardsdatascience.com/automated-feature-engineering-in-python-99baf11cc219) aims to help the data scientist with the problem of feature creation by automatically building hundreds or thousands of new features from a dataset. Featuretools - the only library for automated feature engineering at the moment - will not replace the data scientist, but it will allow her to focus on more valuable parts of the machine learning pipeline, such as delivering robust models into production. 

Here we will touch on the concepts of automated feature engineering with featuretools and show how to implement it for the Home Credit Default Risk competition. We will stick to the basics so we can get the ideas down and then build upon this foundation in later work when we customize featuretools. We will work with a subset of the data because this is a computationally intensive job that is outside the capabilities of the Kaggle kernels. I took the work done in this notebook and ran the methods on the entire dataset with the results [available here](https://www.kaggle.com/willkoehrsen/home-credit-default-risk-feature-tools). At the end of this notebook, we'll look at the features themselves, as well as the results of modeling with different combinations of hand designed and automatically built features. 

If you are new to this competition, I suggest checking out [this post to get started](https://www.kaggle.com/willkoehrsen/start-here-a-gentle-introduction). For a good take on why features are so important, here's a [blog post](https://www.featurelabs.com/blog/secret-to-data-science-success/) by one of the developers of Featuretools. ",introduct autom featur engin basic notebook walk appli autom featur engin home credit default risk dataset http www kaggl com c home credit default risk use featuretool librari featuretool http doc featuretool com open sourc python packag automat creat new featur multipl tabl structur relat data ideal tool problem home credit default risk competit sever relat tabl need combin singl datafram train one test featur engin object featur engin http en wikipedia org wiki featur engin creat new featur alo call explantori variabl predictor repres much inform entir dataset one tabl typic process done hand use panda oper groupbi agg merg tediou moreov manual featur engin limit human time constraint imagin simpli conceiv everi possibl featur use exampl use manual featur engin check part one http www kaggl com willkoehrsen introduct manual featur engin part two http www kaggl com willkoehrsen introduct manual featur engin p2 appli competit import creat proper featur overst machin learn model learn data give extract much inform possibl avail dataset crucial creat effect solut autom featur engin http towardsdatasci com autom featur engin python 99baf11cc219 aim help data scientist problem featur creation automat build hundr thousand new featur dataset featuretool librari autom featur engin moment replac data scientist allow focu valuabl part machin learn pipelin deliv robust model product touch concept autom featur engin featuretool show implement home credit default risk competit stick basic get idea build upon foundat later work custom featuretool work subset data comput intens job outsid capabl kaggl kernel took work done notebook ran method entir dataset result avail http www kaggl com willkoehrsen home credit default risk featur tool end notebook look featur well result model differ combin hand design automat built featur new competit suggest check post get start http www kaggl com willkoehrsen start gentl introduct good take featur import blog post http www featurelab com blog secret data scienc success one develop featuretool
3502,"# Problem

The Home Credit Default Risk competition is a supervised classification machine learning task. The objective is to use historical financial and socioeconomic data to predict whether or not an applicant will be able to repay a loan. This is a standard supervised classification task:

* __Supervised__: The labels are included in the training data and the goal is to train a model to learn to predict the labels from the features
* __Classification__: The label is a binary variable, 0 (will repay loan on time), 1 (will have difficulty repaying loan)

## Dataset

The data is provided by [Home Credit](http://www.homecredit.net/about-us.aspx), a service dedicated to provided lines of credit (loans) to the unbanked population. 

There are 7 different data files:

* __application_train/application_test__: the main training and testing data with information about each loan application at Home Credit. Every loan has its own row and is identified by the `SK_ID_CURR`. The training application data comes with the `TARGET` with indicating 0: the loan was repaid and 1: the loan was not repaid. 
* __bureau__: data concerning client's previous credits from other financial institutions. Each previous credit has its own row in bureau and is identified by the `SK_ID_BUREAU`, Each loan in the application data can have multiple previous credits.
* __bureau_balance__: monthly data about the previous credits in bureau. Each row is one month of a previous credit, and a single previous credit can have multiple rows, one for each month of the credit length. 
* __previous_application__: previous applications for loans at Home Credit of clients who have loans in the application data. Each current loan in the application data can have multiple previous loans. Each previous application has one row and is identified by the feature `SK_ID_PREV`. 
* __POS_CASH_BALANCE__: monthly data about previous point of sale or cash loans clients have had with Home Credit. Each row is one month of a previous point of sale or cash loan, and a single previous loan can have many rows.
* __credit_card_balance__: monthly data about previous credit cards clients have had with Home Credit. Each row is one month of a credit card balance, and a single credit card can have many rows.
* __installments_payment__: payment history for previous loans at Home Credit. There is one row for every made payment and one row for every missed payment. 

The diagram below (provided by Home Credit) shows how the tables are related. This will be very useful when we need to define relationships in featuretools. 

![image](https://storage.googleapis.com/kaggle-media/competitions/home-credit/home_credit.png)

### Read in Data and Create Small Datasets

We will read in the full dataset, sort by the `SK_ID_CURR` and keep only the first 1000 rows to make the calculations feasible. Later we can convert to a script and run with the entire datasets.",problem home credit default risk competit supervis classif machin learn task object use histor financi socioeconom data predict whether applic abl repay loan standard supervis classif task supervis label includ train data goal train model learn predict label featur classif label binari variabl 0 repay loan time 1 difficulti repay loan dataset data provid home credit http www homecredit net u aspx servic dedic provid line credit loan unbank popul 7 differ data file applic train applic test main train test data inform loan applic home credit everi loan row identifi sk id curr train applic data come target indic 0 loan repaid 1 loan repaid bureau data concern client previou credit financi institut previou credit row bureau identifi sk id bureau loan applic data multipl previou credit bureau balanc monthli data previou credit bureau row one month previou credit singl previou credit multipl row one month credit length previou applic previou applic loan home credit client loan applic data current loan applic data multipl previou loan previou applic one row identifi featur sk id prev po cash balanc monthli data previou point sale cash loan client home credit row one month previou point sale cash loan singl previou loan mani row credit card balanc monthli data previou credit card client home credit row one month credit card balanc singl credit card mani row instal payment payment histori previou loan home credit one row everi made payment one row everi miss payment diagram provid home credit show tabl relat use need defin relationship featuretool imag http storag googleapi com kaggl medium competit home credit home credit png read data creat small dataset read full dataset sort sk id curr keep first 1000 row make calcul feasibl later convert script run entir dataset
3503,"We'll join the train and test set together but add a separate column identifying the set. This is important because we are going to want to apply the same exact procedures to each dataset. It's safest to just join them together and treat them as a single dataframe. 

(I'm not sure if this is allowing data leakage into the train set and if these feature creation operations should be applied separately. Any thoughts would be much appreciated!)",join train test set togeth add separ column identifi set import go want appli exact procedur dataset safest join togeth treat singl datafram sure allow data leakag train set featur creation oper appli separ thought would much appreci
3504,"# Featuretools Basics

[Featuretools](https://docs.featuretools.com/#minute-quick-start) is an open-source Python library for automatically creating features out of a set of related tables using a technique called [deep feature synthesis](http://www.jmaxkanter.com/static/papers/DSAA_DSM_2015.pdf). Automated feature engineering, like many topics in machine learning, is a complex subject built upon a foundation of simpler ideas. By going through these ideas one at a time, we can build up our understanding of how featuretools which will later allow for us to get the most out of it.

There are a few concepts that we will cover along the way:

* [Entities and EntitySets](https://docs.featuretools.com/loading_data/using_entitysets.html)
* [Relationships between tables](https://docs.featuretools.com/loading_data/using_entitysets.html#adding-a-relationship)
* [Feature primitives](https://docs.featuretools.com/automated_feature_engineering/primitives.html): aggregations and transformations
* [Deep feature synthesis](https://docs.featuretools.com/automated_feature_engineering/afe.html)

# Entities and Entitysets

An entity is simply a table or in Pandas, a `dataframe`. The observations are in the rows and the features in the columns. An entity in featuretools must have a unique index where none of the elements are duplicated.  Currently, only `app`, `bureau`, and `previous` have unique indices (`SK_ID_CURR`, `SK_ID_BUREAU`, and `SK_ID_PREV` respectively). For the other dataframes, we must pass in `make_index = True` and then specify the name of the index. Entities can also have time indices where each entry is identified by a unique time. (There are not datetimes in any of the data, but there are relative times, given in months or days, that we could consider treating as time variables).

An [EntitySet](https://docs.featuretools.com/loading_data/using_entitysets.html) is a collection of tables and the relationships between them. This can be thought of a data structute with its own methods and attributes. Using an EntitySet allows us to group together multiple tables and manipulate them much quicker than individual tables. 

First we'll make an empty entityset named clients to keep track of all the data.",featuretool basic featuretool http doc featuretool com minut quick start open sourc python librari automat creat featur set relat tabl use techniqu call deep featur synthesi http www jmaxkant com static paper dsaa dsm 2015 pdf autom featur engin like mani topic machin learn complex subject built upon foundat simpler idea go idea one time build understand featuretool later allow u get concept cover along way entiti entityset http doc featuretool com load data use entityset html relationship tabl http doc featuretool com load data use entityset html ad relationship featur primit http doc featuretool com autom featur engin primit html aggreg transform deep featur synthesi http doc featuretool com autom featur engin afe html entiti entityset entiti simpli tabl panda datafram observ row featur column entiti featuretool must uniqu index none element duplic current app bureau previou uniqu indic sk id curr sk id bureau sk id prev respect datafram must pas make index true specifi name index entiti also time indic entri identifi uniqu time datetim data rel time given month day could consid treat time variabl entityset http doc featuretool com load data use entityset html collect tabl relationship thought data structut method attribut use entityset allow u group togeth multipl tabl manipul much quicker individu tabl first make empti entityset name client keep track data
3505,"Now we define each entity, or table of data. We need to pass in an index if the data has one or `make_index = True` if not. Featuretools will automatically infer the types of variables, but we can also change them if needed. For intstance, if we have a categorical variable that is represented as an integer we might want to let featuretools know the right type.",defin entiti tabl data need pas index data one make index true featuretool automat infer type variabl also chang need intstanc categor variabl repres integ might want let featuretool know right type
3506,"# Relationships

Relationships are a fundamental concept not only in featuretools, but in any relational database. The best way to think of a one-to-many relationship is with the analogy of parent-to-child. A parent is a single individual, but can have mutliple children. The children can then have multiple children of their own. In a _parent table_, each individual has a single row. Each individual in the parent table can have multiple rows in the _child table_. 

As an example, the `app` dataframe has one row for each client  (`SK_ID_CURR`) while the `bureau` dataframe has multiple previous loans (`SK_ID_PREV`) for each parent (`SK_ID_CURR`). Therefore, the `bureau` dataframe is the child of the `app` dataframe. The `bureau` dataframe in turn is the parent of `bureau_balance` because each loan has one row in `bureau` but multiple monthly records in `bureau_balance`. ",relationship relationship fundament concept featuretool relat databas best way think one mani relationship analog parent child parent singl individu mutlipl child child multipl child parent tabl individu singl row individu parent tabl multipl row child tabl exampl app datafram one row client sk id curr bureau datafram multipl previou loan sk id prev parent sk id curr therefor bureau datafram child app datafram bureau datafram turn parent bureau balanc loan one row bureau multipl monthli record bureau balanc
3507,"The `SK_ID_CURR` ""100002"" has one row in the parent table and multiple rows in the child. 

Two tables are linked via a shared variable. The `app` and `bureau` dataframe are linked by the `SK_ID_CURR` variable while the `bureau` and `bureau_balance` dataframes are linked with the `SK_ID_BUREAU`. Defining the relationships is relatively straightforward, and the diagram provided by the competition is helpful for seeing the relationships. For each relationship, we need to specify the parent variable and the child variable. Altogether, there are a total of 6 relationships between the tables. Below we specify all six relationships and then add them to the EntitySet.",sk id curr 100002 one row parent tabl multipl row child two tabl link via share variabl app bureau datafram link sk id curr variabl bureau bureau balanc datafram link sk id bureau defin relationship rel straightforward diagram provid competit help see relationship relationship need specifi parent variabl child variabl altogeth total 6 relationship tabl specifi six relationship add entityset
3508,"Slightly advanced note: we need to be careful to not create a [diamond graph](https://en.wikipedia.org/wiki/Diamond_graph) where there are multiple paths from a parent to a child. If we directly link `app` and `cash` via `SK_ID_CURR`; `previous` and `cash` via `SK_ID_PREV`; and `app` and `previous` via `SK_ID_CURR`, then we have created two paths from `app` to `cash`. This results in ambiguity, so the approach we have to take instead is to link `app` to `cash` through `previous`. We establish a relationship between `previous` (the parent) and `cash` (the child) using `SK_ID_PREV`. Then we establish a relationship between `app` (the parent) and `previous` (now the child) using `SK_ID_CURR`. Then featuretools will be able to create features on `app` derived from both `previous` and `cash` by stacking multiple primitives. ",slightli advanc note need care creat diamond graph http en wikipedia org wiki diamond graph multipl path parent child directli link app cash via sk id curr previou cash via sk id prev app previou via sk id curr creat two path app cash result ambigu approach take instead link app cash previou establish relationship previou parent cash child use sk id prev establish relationship app parent previou child use sk id curr featuretool abl creat featur app deriv previou cash stack multipl primit
3509,"All entities in the entity can be related to each other. In theory this allows us to calculate features for any of the entities, but in practice, we will only calculate features for the `app` dataframe since that will be used for training/testing. ",entiti entiti relat theori allow u calcul featur entiti practic calcul featur app datafram sinc use train test
3510,"# Feature Primitives

A [feature primitive](https://docs.featuretools.com/automated_feature_engineering/primitives.html) is an operation applied to a table or a set of tables to create a feature. These represent simple calculations, many of which we already use in manual feature engineering, that can be stacked on top of each other to create complex features. Feature primitives fall into two categories:

* __Aggregation__: function that groups together child datapoints for each parent and then calculates a statistic such as mean, min, max, or standard deviation. An example is calculating the maximum previous loan amount for each client. An aggregation works across multiple tables using relationships between tables.
* __Transformation__: an operation applied to one or more columns in a single table. An example would be taking the absolute value of a column, or finding the difference between two columns in one table.

A list of the available features primitives in featuretools can be viewed below.",featur primit featur primit http doc featuretool com autom featur engin primit html oper appli tabl set tabl creat featur repres simpl calcul mani alreadi use manual featur engin stack top creat complex featur featur primit fall two categori aggreg function group togeth child datapoint parent calcul statist mean min max standard deviat exampl calcul maximum previou loan amount client aggreg work across multipl tabl use relationship tabl transform oper appli one column singl tabl exampl would take absolut valu column find differ two column one tabl list avail featur primit featuretool view
3511,"# Deep Feature Synthesis

Deep Feature Synthesis (DFS) is the process featuretools uses to make new features. DFS stacks feature primitives to form features with a ""depth"" equal to the number of primitives. For example, if we take the maximum value of a client's previous loans (say `MAX(previous.loan_amount)`), that is a ""deep feature"" with a depth of 1. To create a feature with a depth of two, we could stack primitives by taking the maximum value of a client's average montly payments per previous loan (such as `MAX(previous(MEAN(installments.payment)))`). The [original paper on automated feature engineering using deep feature synthesis](https://dai.lids.mit.edu/wp-content/uploads/2017/10/DSAA_DSM_2015.pdf) is worth a read. 

To perform DFS in featuretools, we use the `dfs`  function passing it an `entityset`, the `target_entity` (where we want to make the features), the `agg_primitives` to use, the `trans_primitives` to use and the `max_depth` of the features. Here we will use the default aggregation and transformation primitives,  a max depth of 2, and calculate primitives for the `app` entity. Because this process is computationally expensive, we can run the function using `features_only = True` to return only a list of the features and not calculate the features themselves. This can be useful to look at the resulting features before starting an extended computation.",deep featur synthesi deep featur synthesi df process featuretool use make new featur df stack featur primit form featur depth equal number primit exampl take maximum valu client previou loan say max previou loan amount deep featur depth 1 creat featur depth two could stack primit take maximum valu client averag montli payment per previou loan max previou mean instal payment origin paper autom featur engin use deep featur synthesi http dai lid mit edu wp content upload 2017 10 dsaa dsm 2015 pdf worth read perform df featuretool use df function pas entityset target entiti want make featur agg primit use tran primit use max depth featur use default aggreg transform primit max depth 2 calcul primit app entiti process comput expens run function use featur true return list featur calcul featur use look result featur start extend comput
3512,### DFS with Default Primitives,df default primit
3513,"If you are interested in running this call on the entire dataset and making the features, I wrote a script [for that here](https://www.kaggle.com/willkoehrsen/feature-engineering-using-feature-tools). Unfortunately, this will not run in a Kaggle kernel due to the computational expense of the operation. Using a computer with 64GB of ram, this function call took around 24 hours (I don't think I'm technically breaking the rules of my university's high powered computing center). I have made the entire dataset available [here](https://www.kaggle.com/willkoehrsen/home-credit-default-risk-feature-tools/data) in the file called `feature_matrix.csv`. 

To generate a subset of the features, run the code cell below.",interest run call entir dataset make featur wrote script http www kaggl com willkoehrsen featur engin use featur tool unfortun run kaggl kernel due comput expens oper use comput 64gb ram function call took around 24 hour think technic break rule univers high power comput center made entir dataset avail http www kaggl com willkoehrsen home credit default risk featur tool data file call featur matrix csv gener subset featur run code cell
3514,"### DFS with Selected Aggregation Primitives

With featuretools, we were able to go from 121 original features to almost 1700 in a few lines of code.  When I did feature engineering by hand, it took about 12 hours to create a comparable size dataset. However, while we get a lot of features in featuretools, this function call is not very well-informed. We simply used the default aggregations without thinking about which ones are ""important"" for the problem. We end up with a lot of features, but they are probably not all relevant to the problem. Too many irrelevant features can decrease performance by drowning out the important features (related to the [curse of dimensionality](https://en.wikipedia.org/wiki/Curse_of_dimensionality))

The next call we make will specify a smaller set of features. We still are not using much domain knowledge, but this feature set will be more manageable. The next step from here is improving the features we actually build and performing feature selection.",df select aggreg primit featuretool abl go 121 origin featur almost 1700 line code featur engin hand took 12 hour creat compar size dataset howev get lot featur featuretool function call well inform simpli use default aggreg without think one import problem end lot featur probabl relev problem mani irrelev featur decreas perform drown import featur relat cur dimension http en wikipedia org wiki cur dimension next call make specifi smaller set featur still use much domain knowledg featur set manag next step improv featur actual build perform featur select
3515,"That ""only"" gives us 884 features (and takes about 12 hours to run on the complete dataset). ",give u 884 featur take 12 hour run complet dataset
3516,"## Notes on Basic Implementation

These calls represent only a [small fraction of the ability of featuretools](https://docs.featuretools.com/guides/tuning_dfs.html). We did not specify the variable types when creating entities, did not use the relative time variables, and didn't touch on [custom primitives](https://docs.featuretools.com/guides/advanced_custom_primitives.html) or seed features or interesting values! Nonetheless, in this notebook, we were able to learn the basic foundations which will allow us to more effective use the tool as we learn how it works.  Now, let's take a look at some of the features we have built and modeling results.",note basic implement call repres small fraction abil featuretool http doc featuretool com guid tune df html specifi variabl type creat entiti use rel time variabl touch custom primit http doc featuretool com guid advanc custom primit html seed featur interest valu nonetheless notebook abl learn basic foundat allow u effect use tool learn work let take look featur built model result
3517,"# Results

To determine whether our basic implementation of featuretools was useful, we can look at several results:

* Cross validation scores and public leaderboard scores using several different sets of features.
* Correlations: both between the features and the `TARGET`, and between features themselves
* Feature importances: determined by a gradient boosting machine model
",result determin whether basic implement featuretool use look sever result cross valid score public leaderboard score use sever differ set featur correl featur target featur featur import determin gradient boost machin model
